<<,Price
^,1489161600,4.500000
^,1489075200,4.490000
^,1488988800,4.500000
^,1488902400,4.470000
^,1488816000,4.480000
^,1488556800,4.460000
^,1488470400,4.510000
^,1488297600,4.440000
^,1488211200,4.410000
^,1487952000,4.450000
^,1487779200,4.500000
^,1487692800,4.440000
^,1487347200,4.500000
^,1487260800,4.440000
^,1487174400,4.450000
^,1487088000,4.410000
^,1487001600,4.400000
^,1486742400,4.430000
^,1486656000,4.360000
^,1486569600,4.390000
^,1486483200,4.370000
^,1486396800,4.350000
^,1486137600,4.330000
^,1486051200,4.370000
^,1485964800,4.360000
^,1485878400,4.320000
^,1485792000,4.350000
^,1485532800,4.380000
^,1485187200,4.350000
^,1484841600,4.380000
^,1484755200,4.340000
^,1484668800,4.380000
^,1484582400,4.360000
^,1484323200,4.420000
^,1484236800,4.370000
^,1484150400,4.430000
^,1483718400,4.350000
^,1483632000,4.340000
^,1483545600,4.350000
^,1483459200,4.310000
^,1483113600,4.300000
^,1483027200,4.280000
^,1482940800,4.270000
^,1482508800,4.260000
^,1482422400,4.285000
^,1482249600,4.260000
^,1481904000,4.230000
^,1481817600,4.220000
^,1481731200,4.240000
^,1481644800,4.250000
^,1481558400,4.270000
^,1481544000,4.148753
^,1481299200,4.260000
^,1481212800,4.300000
^,1481040000,4.250000
^,1480953600,4.210000
^,1480608000,4.230000
^,1480521600,4.240000
^,1480435200,4.250000
^,1480348800,4.270000
^,1480089600,4.220000
^,1480003200,4.240000
^,1479916800,4.330000
^,1479744000,4.310000
^,1479484800,4.290000
^,1479398400,4.310000
^,1479312000,4.320000
^,1479225600,4.290000
^,1479139200,4.250000
^,1478880000,4.190000
^,1478793600,4.210000
^,1478707200,4.110000
^,1478620800,4.170000
^,1478534400,4.180000
^,1478188800,4.190000
^,1478102400,4.240000
^,1478016000,4.260000
^,1477929600,4.270000
^,1477670400,4.220000
^,1477584000,4.260000
^,1477411200,4.240000
^,1477396800,4.260000
^,1477324800,4.250000
^,1477065600,4.260000
^,1476979200,4.280000
^,1476892800,4.290000
^,1476806400,4.300000
^,1476720000,4.280000
